A,B,C,D,isolate,uniprod_id
coo:CCU_04550,CDS,433207..433812,conserved hypothetical integral membrane protein TIGR02185,T02583,
coo:CCU_04560,CDS,433812..434552,"ABC-type cobalt transport system, permease component CbiQ and related transporters",T02583,
coo:CCU_04570,CDS,434552..436045,"ATPase components of various ABC-type transport systems, contain duplicated ATPase",T02583,
coo:CCU_04580,CDS,436035..436688,hypothetical protein,T02583,
coo:CCU_04590,CDS,436681..438420,"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_04600,CDS,438417..440153,"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_04620,CDS,443013..443795,"ABC-type antimicrobial peptide transport system, ATPase component",T02583,
coo:CCU_04630,CDS,443785..445935,Predicted permease.,T02583,
coo:CCU_04640,CDS,445935..446648,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_04650,CDS,446645..447736,Signal transduction histidine kinase,T02583,
coo:CCU_04660,CDS,447696..448205,hypothetical protein,T02583,
coo:CCU_04670,CDS,448228..448914,hypothetical protein,T02583,
coo:CCU_04700,CDS,451540..451764,hypothetical protein,T02583,
coo:CCU_04710,CDS,complement(451761..452576),hypothetical protein,T02583,
coo:CCU_04750,CDS,458086..458322,hypothetical protein,T02583,
coo:CCU_04770,CDS,459297..459797,hypothetical protein,T02583,
coo:CCU_04780,CDS,460196..461047,hypothetical protein,T02583,
coo:CCU_04790,CDS,461204..463045,Rad3-related DNA helicases,T02583,
coo:CCU_04800,CDS,463215..464333,Site-specific recombinase XerD,T02583,
coo:CCU_04810,CDS,464346..465407,hypothetical protein,T02583,
coo:CCU_04820,CDS,466024..466461,Site-specific recombinase XerD,T02583,
coo:CCU_04830,CDS,466454..467971,Phage integrase family.,T02583,
coo:CCU_04840,CDS,467937..468320,hypothetical protein,T02583,
coo:CCU_04850,CDS,468607..469029,"Uncharacterized conserved protein, contains double-stranded beta-helix domain",T02583,
coo:CCU_04860,CDS,469055..469393,Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit,T02583,
coo:CCU_04870,CDS,469371..469769,Cupin domain.,T02583,
coo:CCU_04880,CDS,470147..470593,hypothetical protein,T02583,
coo:CCU_04890,CDS,471163..471642,ADP-ribose pyrophosphatase,T02583,
coo:CCU_04910,CDS,complement(473895..474590),Colicin V production protein.,T02583,
coo:CCU_04920,CDS,complement(474609..475898),hypothetical protein,T02583,
coo:CCU_04930,CDS,complement(475956..477254),LysM domain.,T02583,
coo:CCU_04940,CDS,477504..478055,putative sporulation protein YyaC,T02583,
coo:CCU_04950,CDS,complement(478056..479168),hypothetical protein,T02583,
coo:CCU_04960,CDS,479464..479877,FOG: CBS domain,T02583,
coo:CCU_04970,CDS,complement(479962..481626),Isopropylmalate/homocitrate/citramalate synthases,T02583,
coo:CCU_04980,CDS,complement(482020..482169),hypothetical protein,T02583,
coo:CCU_04990,CDS,482345..483019,Uracil-DNA glycosylase,T02583,
coo:CCU_05000,CDS,483038..483646,"Fructose-2,6-bisphosphatase",T02583,
coo:CCU_05010,CDS,complement(483701..484315),Guanosine polyphosphate pyrophosphohydrolases/synthetases,T02583,
coo:CCU_05020,CDS,484493..486637,Transcriptional accessory protein,T02583,
coo:CCU_05040,CDS,486989..487252,hypothetical protein,T02583,
coo:CCU_05050,CDS,487252..487875,Mn-containing catalase,T02583,
coo:CCU_05060,CDS,487934..488881,Permeases of the drug/metabolite transporter (DMT) superfamily,T02583,
coo:CCU_05070,CDS,complement(488876..490714),hypothetical protein,T02583,
coo:CCU_05080,CDS,491068..492684,CTP synthase,T02583,
coo:CCU_05090,CDS,complement(492777..493403),"haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E",T02583,
coo:CCU_05100,CDS,complement(493423..493743),"transcriptional regulator, ArsR family",T02583,
coo:CCU_05110,CDS,493934..494131,Uncharacterized conserved protein,T02583,
coo:CCU_05120,CDS,complement(494187..495137),Predicted metal-dependent membrane protease,T02583,
coo:CCU_05130,CDS,complement(495142..495522),endoribonuclease L-PSP,T02583,
coo:CCU_05140,CDS,complement(495565..496608),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_05150,CDS,complement(496650..497369),Acyl-ACP thioesterase,T02583,
coo:CCU_T_29330,tRNA,497515..497590,CCU_T_29330,T02583,
coo:CCU_05160,CDS,complement(497807..498658),Predicted metal-dependent hydrolase of the TIM-barrel fold,T02583,
coo:CCU_05170,CDS,498802..499542,N-acetylmuramoyl-L-alanine amidase,T02583,
coo:CCU_05180,CDS,complement(499617..500714),diguanylate cyclase (GGDEF) domain,T02583,
coo:CCU_05190,CDS,complement(500844..501416),"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",T02583,
coo:CCU_05200,CDS,complement(501419..503161),"indolepyruvate ferredoxin oxidoreductase, alpha subunit",T02583,
coo:CCU_05210,CDS,complement(503337..505175),Uncharacterized protein containing a von Willebrand factor type A (vWA) domain,T02583,
coo:CCU_05220,CDS,complement(505294..506004),hypothetical protein,T02583,
coo:CCU_05230,CDS,complement(506001..506519),"RNA polymerase sigma factor, sigma-70 family",T02583,
coo:CCU_05240,CDS,complement(506609..507550),hypothetical protein,T02583,
coo:CCU_05250,CDS,507732..508451,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_T_29340,tRNA,508576..508649,CCU_T_29340,T02583,
coo:CCU_05260,CDS,complement(508774..509202),hypothetical protein,T02583,
coo:CCU_05270,CDS,complement(509274..510041),hypothetical protein,T02583,
coo:CCU_05280,CDS,complement(510181..511197),hypothetical protein,T02583,
coo:CCU_05290,CDS,511357..512637,Imidazolonepropionase and related amidohydrolases,T02583,
coo:CCU_05300,CDS,512763..512993,hypothetical protein,T02583,
coo:CCU_05310,CDS,complement(513058..514308),Na+/serine symporter,T02583,
coo:CCU_05320,CDS,complement(514555..515670),Methionine synthase II (cobalamin-independent),T02583,
coo:CCU_05330,CDS,complement(515795..516538),Protein of unknown function DUF88.,T02583,
coo:CCU_05350,CDS,complement(516865..517587),Transposase and inactivated derivatives,T02583,
coo:CCU_05370,CDS,complement(518554..520398),"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_05380,CDS,complement(520402..522594),"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_05390,CDS,complement(523031..523237),FeoA domain.,T02583,
coo:CCU_05400,CDS,complement(523506..524531),"branched-chain amino acid aminotransferase, group II",T02583,
coo:CCU_05410,CDS,complement(524717..525271),"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",T02583,
coo:CCU_05420,CDS,complement(525408..526547),"transporter, YbiR family",T02583,
coo:CCU_05430,CDS,complement(526544..527089),uncharacterized domain HDIG,T02583,
coo:CCU_05490,CDS,complement(534423..534527),hypothetical protein,T02583,
coo:CCU_05500,CDS,534755..535609,fructokinase,T02583,
coo:CCU_05510,CDS,complement(535673..536653),Glycosyltransferases involved in cell wall biogenesis,T02583,
coo:CCU_05520,CDS,complement(536664..537812),Glycosyltransferases involved in cell wall biogenesis,T02583,
coo:CCU_05530,CDS,complement(537930..538766),Undecaprenyl-diphosphatase,T02583,
coo:CCU_05560,CDS,540023..541162,Na+-dependent transporters of the SNF family,T02583,
coo:CCU_05570,CDS,complement(541291..543309),Signal transduction histidine kinase,T02583,
coo:CCU_05580,CDS,complement(543402..543698),hypothetical protein,T02583,
coo:CCU_05640,CDS,complement(547260..548447),hypothetical protein,T02583,
coo:CCU_05650,CDS,complement(548511..549278),Predicted transcriptional regulators,T02583,
coo:CCU_05660,CDS,complement(549352..550053),Topoisomerase DNA binding C4 zinc finger.,T02583,
coo:CCU_05700,CDS,complement(554820..555680),hypothetical protein,T02583,
coo:CCU_05710,CDS,complement(555658..556089),FHA domain.,T02583,
coo:CCU_05780,CDS,complement(562357..562899),RNA:NAD 2'-phosphotransferase,T02583,
coo:CCU_05790,CDS,complement(562892..563251),hypothetical protein,T02583,
coo:CCU_05810,CDS,complement(565194..565511),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_05820,CDS,complement(565530..565829),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_05840,CDS,complement(566129..566446),hypothetical protein,T02583,
coo:CCU_05860,CDS,complement(568862..569386),hypothetical protein,T02583,
coo:CCU_05880,CDS,complement(569699..569809),hypothetical protein,T02583,
coo:CCU_05910,CDS,complement(571689..571985),hypothetical protein,T02583,
coo:CCU_05920,CDS,complement(572189..572881),"ribosomal protein L1, bacterial/chloroplast",T02583,
coo:CCU_05930,CDS,complement(572937..573362),LSU ribosomal protein L11P,T02583,
coo:CCU_05940,CDS,complement(573406..573933),transcription antitermination protein nusG,T02583,
coo:CCU_05950,CDS,complement(573949..574161),protein translocase subunit secE/sec61 gamma,T02583,
coo:CCU_05960,CDS,complement(574189..574338),LSU ribosomal protein L33P,T02583,
coo:CCU_05970,CDS,complement(574473..574715),hypothetical protein,T02583,
coo:CCU_05990,CDS,complement(575550..576344),SseB protein.,T02583,
coo:CCU_06000,CDS,complement(576375..577202),hypothetical protein,T02583,
coo:CCU_06030,CDS,578499..579266,glutamate racemase,T02583,
coo:CCU_06040,CDS,complement(579536..580738),"Predicted ornithine cyclodeaminase, mu-crystallin homolog",T02583,
coo:CCU_06050,CDS,complement(580770..582059),LacY proton/sugar symporter.,T02583,
coo:CCU_06060,CDS,complement(582069..583163),Spermidine/putrescine-binding periplasmic protein,T02583,
coo:CCU_06070,CDS,complement(583208..584857),Predicted metal-dependent hydrolase with the TIM-barrel fold,T02583,
coo:CCU_06080,CDS,complement(584911..585741),"ABC-type spermidine/putrescine transport system, permease component II",T02583,
coo:CCU_06090,CDS,complement(585754..586620),"ABC-type spermidine/putrescine transport system, permease component I",T02583,
coo:CCU_06100,CDS,complement(586680..587795),spermidine/putrescine ABC transporter ATP-binding subunit,T02583,
coo:CCU_06110,CDS,complement(587830..588168),Nitrogen regulatory protein PII,T02583,
coo:CCU_06120,CDS,complement(588481..589626),"Predicted ornithine cyclodeaminase, mu-crystallin homolog",T02583,
coo:CCU_06130,CDS,complement(589735..590913),"Uncharacterized oxidoreductases, Fe-dependent alcohol dehydrogenase family",T02583,
coo:CCU_06140,CDS,complement(591031..592170),Glycine/D-amino acid oxidases (deaminating),T02583,
coo:CCU_06150,CDS,complement(592163..592495),NAD(P)H-nitrite reductase,T02583,
coo:CCU_06160,CDS,complement(592492..594069),Thioredoxin reductase,T02583,
coo:CCU_06170,CDS,complement(594082..594399),hypothetical protein,T02583,
coo:CCU_06180,CDS,594868..595695,Predicted transcriptional regulators,T02583,
coo:CCU_06190,CDS,complement(595735..597918),hypothetical protein,T02583,
coo:CCU_06200,CDS,complement(598211..599548),Xanthine/uracil permeases,T02583,
coo:CCU_06210,CDS,complement(599595..600977),Cytosine deaminase and related metal-dependent hydrolases,T02583,
coo:CCU_T_29580,tRNA,complement(601381..601466),CCU_T_29580,T02583,
coo:CCU_06220,CDS,complement(601592..601846),HIRAN domain.,T02583,
coo:CCU_06230,CDS,complement(602224..603147),Alpha-L-arabinofuranosidase,T02583,
coo:CCU_06250,CDS,604495..605289,AraC-type DNA-binding domain-containing proteins,T02583,
coo:CCU_06260,CDS,complement(605279..605902),"Type IV secretory pathway, VirD4 components",T02583,
coo:CCU_06270,CDS,complement(605987..606151),hypothetical protein,T02583,
coo:CCU_06280,CDS,complement(606426..606668),hypothetical protein,T02583,
coo:CCU_06320,CDS,complement(609872..610780),homoserine O-succinyltransferase,T02583,
coo:CCU_06330,CDS,complement(610816..612852),"DNA ligase, NAD-dependent",T02583,
coo:CCU_06340,CDS,complement(612887..613591),ribosomal large subunit pseudouridine synthase F,T02583,
coo:CCU_06350,CDS,613906..614370,"transcriptional regulator, AsnC family",T02583,
coo:CCU_06360,CDS,complement(614420..615472),hypothetical protein,T02583,
coo:CCU_T_29570,tRNA,complement(615520..615591),CCU_T_29570,T02583,
coo:CCU_06370,CDS,complement(615693..617150),Permeases,T02583,
coo:CCU_06390,CDS,complement(620393..620575),hypothetical protein,T02583,
coo:CCU_06400,CDS,complement(620976..621542),"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02583,
coo:CCU_06410,CDS,complement(621575..622234),hypothetical protein,T02583,
coo:CCU_06420,CDS,complement(622231..622917),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_06430,CDS,complement(623011..623085),hypothetical protein,T02583,
coo:CCU_06440,CDS,complement(623320..624345),translation elongation factor Ts (EF-Ts),T02583,
coo:CCU_06450,CDS,complement(624583..625317),SSU ribosomal protein S2P,T02583,
coo:CCU_06460,CDS,complement(625526..626341),hypothetical protein,T02583,
coo:CCU_06470,CDS,complement(626372..627118),hypothetical protein,T02583,
coo:CCU_06480,CDS,complement(627138..628346),hypothetical protein,T02583,
coo:CCU_06490,CDS,complement(628385..628921),Pleiotropic transcriptional repressor,T02583,
coo:CCU_06500,CDS,complement(629470..631596),DNA topoisomerase I,T02583,
coo:CCU_06510,CDS,complement(631632..632711),DNA protecting protein DprA,T02583,
coo:CCU_06520,CDS,complement(632713..633558),Predicted ATPase with chaperone activity,T02583,
coo:CCU_06530,CDS,complement(633512..634246),Predicted ATPase with chaperone activity,T02583,
coo:CCU_06550,CDS,complement(635236..636201),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_06560,CDS,complement(636201..638510),hypothetical protein,T02583,
coo:CCU_06570,CDS,complement(638691..639650),"CobW/HypB/UreG, nucleotide-binding domain.",T02583,
coo:CCU_06580,CDS,complement(639682..640836),Putative GTPases (G3E family),T02583,
coo:CCU_06590,CDS,complement(640976..641884),Small-conductance mechanosensitive channel,T02583,
coo:CCU_06600,CDS,complement(641900..643783),"1,4-alpha-glucan branching enzyme",T02583,
coo:CCU_06610,CDS,complement(643803..645038),Uncharacterized conserved protein,T02583,
coo:CCU_06620,CDS,complement(645080..645646),hypothetical protein,T02583,
coo:CCU_06660,CDS,complement(650481..651572),aspartate-semialdehyde dehydrogenase (non-peptidoglycan organisms),T02583,
coo:CCU_06670,CDS,complement(651599..652765),Phosphoglycerate dehydrogenase and related dehydrogenases,T02583,
coo:CCU_06680,CDS,complement(652796..653878),phosphoserine aminotransferase,T02583,
coo:CCU_06710,CDS,complement(656465..658135),dihydroxy-acid dehydratase,T02583,
coo:CCU_06720,CDS,complement(658163..659245),3-isopropylmalate dehydrogenase,T02583,
coo:CCU_06730,CDS,complement(659310..659801),"3-isopropylmalate dehydratase, small subunit",T02583,
coo:CCU_06740,CDS,complement(659844..661109),"3-isopropylmalate dehydratase, large subunit",T02583,
coo:CCU_06750,CDS,661228..662325,"transcriptional regulator, LysR family",T02583,
coo:CCU_06760,CDS,complement(662303..664918),Bacterial membrane protein YfhO.,T02583,
coo:CCU_06790,CDS,complement(667746..669446),hypothetical protein,T02583,
coo:CCU_06800,CDS,complement(669618..673370),phosphoribosylformylglycinamidine synthase,T02583,
coo:CCU_06810,CDS,complement(673540..674478),Predicted deacylase,T02583,
coo:CCU_06820,CDS,complement(674471..675409),Predicted deacylase,T02583,
coo:CCU_06830,CDS,complement(675760..676572),Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,T02583,
coo:CCU_06840,CDS,complement(676716..677519),Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain,T02583,
coo:CCU_06860,CDS,complement(679993..681105),SpoIVB peptidase S55.,T02583,
coo:CCU_06870,CDS,complement(681211..682896),DNA replication and repair protein RecN,T02583,
coo:CCU_06880,CDS,complement(682954..683403),"transcriptional regulator, ArgR family",T02583,
coo:CCU_06890,CDS,complement(683405..684259),Predicted sugar kinase,T02583,
coo:CCU_06910,CDS,complement(685085..686962),1-deoxy-D-xylulose-5-phosphate synthase,T02583,
coo:CCU_06920,CDS,complement(686984..687868),Geranylgeranyl pyrophosphate synthase,T02583,
coo:CCU_06930,CDS,complement(687865..688098),Exonuclease VII small subunit.,T02583,
coo:CCU_06960,CDS,complement(689723..690202),transcription antitermination factor NusB,T02583,
coo:CCU_06970,CDS,complement(690239..690658),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_06980,CDS,complement(690759..691391),hypothetical protein,T02583,
coo:CCU_07000,CDS,complement(692012..692485),Stage III sporulation protein AF (Spore_III_AF).,T02583,
coo:CCU_07020,CDS,complement(693702..693980),Stage III sporulation protein AC/AD protein family.,T02583,
coo:CCU_07030,CDS,complement(694569..694769),stage III sporulation protein AC,T02583,
coo:CCU_07040,CDS,complement(694787..695305),Stage III sporulation protein AB (spore_III_AB).,T02583,
coo:CCU_07050,CDS,complement(695320..696252),stage III sporulation protein AA,T02583,
coo:CCU_07060,CDS,complement(696429..697013),translation elongation factor P (EF-P),T02583,
coo:CCU_07070,CDS,complement(697453..698544),Xaa-Pro aminopeptidase,T02583,
coo:CCU_07080,CDS,complement(698544..699929),shikimate dehydrogenase,T02583,
coo:CCU_T_29350,tRNA,709878..709951,CCU_T_29350,T02583,
